dataset,article,strategy,classification,char_len
allsides,allsides_abortion_c_1,cot_fewshot_mft,ok,1363
allsides,allsides_abortion_c_1,cot_fewshot,format_miss,2838
allsides,allsides_abortion_c_1,cot,refusal,163
allsides,allsides_abortion_c_1,oracle,ok,1179
allsides,allsides_abortion_c_1,simple_fewshot_mft,ok,1724
allsides,allsides_abortion_c_1,simple_fewshot,ok,1012
allsides,allsides_abortion_c_1,simple,format_miss,1177
allsides,allsides_abortion_c_1,vanilla,ok,997
allsides,allsides_abortion_c_2,cot_fewshot_mft,ok,1260
allsides,allsides_abortion_c_2,cot_fewshot,ok,1346
allsides,allsides_abortion_c_2,cot,ok,1102
allsides,allsides_abortion_c_2,oracle,ok,980
allsides,allsides_abortion_c_2,simple_fewshot_mft,ok,1523
allsides,allsides_abortion_c_2,simple_fewshot,ok,984
allsides,allsides_abortion_c_2,simple,ok,1159
allsides,allsides_abortion_c_2,vanilla,ok,1001
allsides,allsides_abortion_c_3,cot_fewshot_mft,format_miss,998
allsides,allsides_abortion_c_3,cot_fewshot,format_miss,1035
allsides,allsides_abortion_c_3,cot,refusal,133
allsides,allsides_abortion_c_3,oracle,refusal,199
allsides,allsides_abortion_c_3,simple_fewshot_mft,ok,1330
allsides,allsides_abortion_c_3,simple_fewshot,ok,1034
allsides,allsides_abortion_c_3,simple,refusal,214
allsides,allsides_abortion_c_3,vanilla,ok,920
allsides,allsides_abortion_c_4,cot_fewshot_mft,ok,1359
allsides,allsides_abortion_c_4,cot_fewshot,ok,1305
allsides,allsides_abortion_c_4,cot,refusal,180
allsides,allsides_abortion_c_4,oracle,ok,894
allsides,allsides_abortion_c_4,simple_fewshot_mft,ok,1430
allsides,allsides_abortion_c_4,simple_fewshot,ok,964
allsides,allsides_abortion_c_4,simple,ok,1110
allsides,allsides_abortion_c_4,vanilla,ok,1074
allsides,allsides_abortion_c_5,cot_fewshot_mft,ok,1274
allsides,allsides_abortion_c_5,cot_fewshot,ok,1214
allsides,allsides_abortion_c_5,cot,ok,972
allsides,allsides_abortion_c_5,oracle,ok,1283
allsides,allsides_abortion_c_5,simple_fewshot_mft,ok,1348
allsides,allsides_abortion_c_5,simple_fewshot,ok,1109
allsides,allsides_abortion_c_5,simple,ok,1317
allsides,allsides_abortion_c_5,vanilla,ok,934
allsides,allsides_abortion_l_1,cot_fewshot_mft,format_miss,1144
allsides,allsides_abortion_l_1,cot_fewshot,format_miss,1045
allsides,allsides_abortion_l_1,cot,refusal,206
allsides,allsides_abortion_l_1,oracle,refusal,115
allsides,allsides_abortion_l_1,simple_fewshot_mft,ok,1420
allsides,allsides_abortion_l_1,simple_fewshot,ok,1184
allsides,allsides_abortion_l_1,simple,ok,898
allsides,allsides_abortion_l_1,vanilla,ok,831
allsides,allsides_abortion_l_2,cot_fewshot_mft,ok,1223
allsides,allsides_abortion_l_2,cot_fewshot,ok,1090
allsides,allsides_abortion_l_2,cot,refusal,252
allsides,allsides_abortion_l_2,oracle,refusal,193
allsides,allsides_abortion_l_2,simple_fewshot_mft,ok,1071
allsides,allsides_abortion_l_2,simple_fewshot,ok,932
