dataset,article,strategy,classification,refusal_subtype,char_len
allsides,allsides_abortion_c_1,cot_fewshot_mft,ok,,1354
allsides,allsides_abortion_c_1,cot_fewshot,ok,,977
allsides,allsides_abortion_c_1,cot,ok,,972
allsides,allsides_abortion_c_1,oracle,ok,,1127
allsides,allsides_abortion_c_1,simple_fewshot_mft,ok,,1109
allsides,allsides_abortion_c_1,simple_fewshot,ok,,1003
allsides,allsides_abortion_c_1,simple,ok,,937
allsides,allsides_abortion_c_1,vanilla,ok,,854
allsides,allsides_abortion_c_2,cot_fewshot_mft,ok,,1170
allsides,allsides_abortion_c_2,cot_fewshot,ok,,1004
allsides,allsides_abortion_c_2,cot,ok,,1051
allsides,allsides_abortion_c_2,oracle,ok,,1010
allsides,allsides_abortion_c_2,simple_fewshot_mft,ok,,995
allsides,allsides_abortion_c_2,simple_fewshot,ok,,979
allsides,allsides_abortion_c_2,simple,ok,,876
allsides,allsides_abortion_c_2,vanilla,ok,,984
allsides,allsides_abortion_c_3,cot_fewshot_mft,ok,,1085
allsides,allsides_abortion_c_3,cot_fewshot,ok,,1090
allsides,allsides_abortion_c_3,cot,ok,,975
allsides,allsides_abortion_c_3,oracle,ok,,995
allsides,allsides_abortion_c_3,simple_fewshot_mft,ok,,1042
allsides,allsides_abortion_c_3,simple_fewshot,ok,,895
allsides,allsides_abortion_c_3,simple,ok,,803
allsides,allsides_abortion_c_3,vanilla,ok,,734
allsides,allsides_abortion_c_4,cot_fewshot_mft,ok,,1053
allsides,allsides_abortion_c_4,cot_fewshot,ok,,1112
allsides,allsides_abortion_c_4,cot,ok,,1129
allsides,allsides_abortion_c_4,oracle,ok,,1022
allsides,allsides_abortion_c_4,simple_fewshot_mft,ok,,1110
allsides,allsides_abortion_c_4,simple_fewshot,ok,,862
allsides,allsides_abortion_c_4,simple,ok,,976
allsides,allsides_abortion_c_4,vanilla,ok,,947
allsides,allsides_abortion_c_5,cot_fewshot_mft,ok,,1223
allsides,allsides_abortion_c_5,cot_fewshot,ok,,1215
allsides,allsides_abortion_c_5,cot,ok,,1062
allsides,allsides_abortion_c_5,oracle,ok,,1043
allsides,allsides_abortion_c_5,simple_fewshot_mft,ok,,1072
allsides,allsides_abortion_c_5,simple_fewshot,format_miss,,1005
allsides,allsides_abortion_c_5,simple,ok,,971
allsides,allsides_abortion_c_5,vanilla,ok,,855
allsides,allsides_abortion_l_1,cot_fewshot_mft,ok,,996
allsides,allsides_abortion_l_1,cot_fewshot,ok,,963
allsides,allsides_abortion_l_1,cot,ok,,1025
allsides,allsides_abortion_l_1,oracle,ok,,1065
allsides,allsides_abortion_l_1,simple_fewshot_mft,ok,,1024
allsides,allsides_abortion_l_1,simple_fewshot,ok,,897
allsides,allsides_abortion_l_1,simple,ok,,818
allsides,allsides_abortion_l_1,vanilla,ok,,906
allsides,allsides_abortion_l_2,cot_fewshot_mft,ok,,1102
allsides,allsides_abortion_l_2,cot_fewshot,ok,,1052
allsides,allsides_abortion_l_2,cot,ok,,970
allsides,allsides_abortion_l_2,oracle,ok,,979
allsides,allsides_abortion_l_2,simple_fewshot_mft,ok,,1028
allsides,allsides_abortion_l_2,simple_fewshot,ok,,979
allsides,allsides_abortion_l_2,simple,ok,,868
allsides,allsides_abortion_l_2,vanilla,ok,,834
allsides,allsides_abortion_l_3,cot_fewshot_mft,ok,,1045
allsides,allsides_abortion_l_3,cot_fewshot,ok,,1707
allsides,allsides_abortion_l_3,cot,ok,,1038
allsides,allsides_abortion_l_3,oracle,ok,,1084
allsides,allsides_abortion_l_3,simple_fewshot_mft,ok,,1205
allsides,allsides_abortion_l_3,simple_fewshot,ok,,1038
