dataset,article,strategy,classification,refusal_subtype,char_len
allsides,allsides_abortion_c_1,cot_fewshot_mft,ok,,1266
allsides,allsides_abortion_c_1,cot_fewshot,ok,,986
allsides,allsides_abortion_c_1,cot,ok,,1223
allsides,allsides_abortion_c_1,oracle,ok,,1114
allsides,allsides_abortion_c_1,simple_fewshot_mft,ok,,1009
allsides,allsides_abortion_c_1,simple_fewshot,ok,,1170
allsides,allsides_abortion_c_1,simple,ok,,1155
allsides,allsides_abortion_c_1,vanilla,ok,,1160
allsides,allsides_abortion_c_2,cot_fewshot_mft,ok,,1534
allsides,allsides_abortion_c_2,cot_fewshot,ok,,1210
allsides,allsides_abortion_c_2,cot,ok,,1251
allsides,allsides_abortion_c_2,oracle,ok,,1247
allsides,allsides_abortion_c_2,simple_fewshot_mft,ok,,1214
allsides,allsides_abortion_c_2,simple_fewshot,ok,,1012
allsides,allsides_abortion_c_2,simple,ok,,1347
allsides,allsides_abortion_c_2,vanilla,ok,,1183
allsides,allsides_abortion_c_3,cot_fewshot_mft,ok,,1281
allsides,allsides_abortion_c_3,cot_fewshot,ok,,1271
allsides,allsides_abortion_c_3,cot,ok,,1173
allsides,allsides_abortion_c_3,oracle,ok,,1059
allsides,allsides_abortion_c_3,simple_fewshot_mft,ok,,1178
allsides,allsides_abortion_c_3,simple_fewshot,ok,,1048
allsides,allsides_abortion_c_3,simple,ok,,1125
allsides,allsides_abortion_c_3,vanilla,ok,,958
allsides,allsides_abortion_c_4,cot_fewshot_mft,ok,,1452
allsides,allsides_abortion_c_4,cot_fewshot,ok,,1307
allsides,allsides_abortion_c_4,cot,ok,,1270
allsides,allsides_abortion_c_4,oracle,ok,,1146
allsides,allsides_abortion_c_4,simple_fewshot_mft,ok,,1238
allsides,allsides_abortion_c_4,simple_fewshot,ok,,1253
allsides,allsides_abortion_c_4,simple,ok,,1282
allsides,allsides_abortion_c_4,vanilla,ok,,1142
allsides,allsides_abortion_c_5,cot_fewshot_mft,ok,,1112
allsides,allsides_abortion_c_5,cot_fewshot,ok,,1234
allsides,allsides_abortion_c_5,cot,ok,,1207
allsides,allsides_abortion_c_5,oracle,ok,,1042
allsides,allsides_abortion_c_5,simple_fewshot_mft,ok,,1298
allsides,allsides_abortion_c_5,simple_fewshot,ok,,1165
allsides,allsides_abortion_c_5,simple,ok,,1302
allsides,allsides_abortion_c_5,vanilla,ok,,1023
